Crop,Soil_pH,Organic_Matter_Percent,N_Content_mgkg,P_Content_mgkg,K_Content_mgkg,Rainfall_mm,Temperature_C,Yield_Tons_per_ha,Fertilizer_Recommendation
Corn,6.22,3.06,127.4,50.1,130.7,663.8,22.3,6.64,No fertilizer needed
Rice,6.08,3.4,100.5,23.6,130.4,923.6,23.0,4.9,No fertilizer needed
Soybeans,6.52,4.15,46.3,64.2,185.5,423.0,22.7,2.92,No fertilizer needed
Rice,6.56,3.39,119.7,34.8,124.9,981.9,22.5,5.0,No fertilizer needed
Rice,5.77,3.79,116.2,39.1,196.3,942.3,24.7,5.17,No fertilizer needed
Wheat,6.51,3.71,90.8,18.4,194.6,670.9,17.1,4.11,Need P fertilizer
Corn,6.82,2.21,151.0,60.5,182.6,681.6,23.7,6.37,No fertilizer needed
Wheat,6.12,3.74,107.8,37.2,254.1,650.4,21.5,4.49,No fertilizer needed
Wheat,6.19,3.45,74.2,34.7,169.6,690.5,20.4,4.32,No fertilizer needed
Wheat,7.64,3.12,105.1,44.9,205.3,697.6,18.7,4.58,No fertilizer needed
Soybeans,7.01,4.1,88.2,31.7,176.5,507.0,21.0,3.05,No fertilizer needed
Soybeans,6.24,5.38,87.1,42.9,187.6,500.6,19.9,3.02,No fertilizer needed
Wheat,6.47,3.46,99.6,31.9,248.1,567.8,20.6,4.44,No fertilizer needed
Wheat,6.58,2.77,129.5,41.0,274.2,582.5,16.5,4.19,No fertilizer needed
Soybeans,6.1,3.84,103.2,49.0,169.6,611.1,21.5,3.2,No fertilizer needed
Rice,6.46,4.24,86.4,28.9,175.2,989.3,22.1,4.9,No fertilizer needed
Soybeans,6.7,4.31,91.3,40.5,246.5,564.3,24.2,3.16,No fertilizer needed
Wheat,5.53,3.69,88.9,29.1,189.3,767.3,20.1,4.22,No fertilizer needed
Corn,5.84,3.18,123.0,38.2,219.3,763.8,22.4,6.3,No fertilizer needed
Soybeans,6.85,3.61,64.2,50.1,205.3,633.3,21.1,3.16,No fertilizer needed
Corn,6.44,1.7,84.0,21.8,135.2,733.7,25.3,5.8,Need N-P complex fertilizer
Rice,6.89,3.93,115.2,33.8,207.9,948.9,26.9,5.15,No fertilizer needed
Corn,6.53,2.5,188.2,37.7,174.6,726.6,21.6,6.14,No fertilizer needed
Soybeans,5.71,3.82,68.6,38.2,199.7,637.2,24.7,3.31,No fertilizer needed
Soybeans,6.0,3.06,43.5,62.3,237.8,551.0,20.6,2.9,Need N fertilizer
Wheat,6.4,3.48,119.6,20.5,281.6,683.1,19.4,4.29,Need P fertilizer
Rice,6.35,4.11,118.4,10.5,142.3,1139.0,25.3,4.79,Need P fertilizer
